true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453793,168,10,2,78,7,4,0,0,2,196,0,1,0,4
Bot,5,386,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,2,0,25594,0,9,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,2052,4,3,0,0,0,0,0,0,0,0,0
DoS Hulk,0,0,2,5,46018,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,1,0,0,0,0,1093,3,0,0,0,0,0,2,0,1
DoS slowloris,0,0,0,0,0,1,1157,0,0,0,0,0,0,0,1
FTP-Patator,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0
PortScan,2,0,0,0,6,0,0,0,0,0,31751,0,1,0,1
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,191,2,108
Web Attack - Sql Injection,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Web Attack - XSS,0,0,0,0,0,0,0,0,0,0,0,0,41,1,88
