true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453979,27,0,2,57,6,0,0,0,0,193,0,1,0,0
Bot,82,309,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,5,0,25600,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,2,0,0,2053,2,2,0,0,0,0,0,0,0,0,0
DoS Hulk,4,0,0,5,46015,0,0,0,0,0,1,0,0,0,0
DoS Slowhttptest,3,0,0,0,0,1092,3,0,0,0,0,0,0,0,2
DoS slowloris,0,0,0,0,0,2,1156,0,0,0,0,0,1,0,0
FTP-Patator,1,0,0,0,0,0,0,1585,0,0,0,0,1,0,0
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,4,0,0,0,7,0,0,0,0,0,31749,0,1,0,0
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,2,0,0,0,0,0,0,0,0,0,0,0,261,0,38
Web Attack - Sql Injection,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Web Attack - XSS,3,0,0,0,0,0,0,0,0,0,1,0,96,1,29
