true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,452706,169,17,3,132,10,2,0,0,3,194,0,406,3,620
Bot,1,390,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,3,0,25590,0,12,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,2042,14,3,0,0,0,0,0,0,0,0,0
DoS Hulk,0,0,0,0,46024,0,0,0,0,0,0,0,0,0,1
DoS Slowhttptest,5,0,0,0,0,1088,5,0,0,0,0,0,0,0,2
DoS slowloris,2,0,0,0,0,1,1156,0,0,0,0,0,0,0,0
FTP-Patator,3,0,0,0,0,0,0,1583,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
PortScan,2,0,0,0,12,0,0,0,0,0,31745,0,1,0,1
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,2,0,0,0,0,0,0,0,0,0,0,0,157,2,140
Web Attack - Sql Injection,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Web Attack - XSS,1,0,0,0,0,0,0,0,0,0,0,0,31,1,97
