true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,448531,608,17,6,3855,9,1,0,0,7,197,0,409,2,623
Bot,21,370,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,11,0,25584,0,10,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,2010,46,3,0,0,0,0,0,0,0,0,0
DoS Hulk,11,0,2,0,46011,0,0,0,0,0,0,0,0,0,1
DoS Slowhttptest,2,0,0,0,4,1087,5,0,0,0,0,0,0,0,2
DoS slowloris,0,0,0,0,2,0,1156,0,0,0,0,0,1,0,0
FTP-Patator,3,0,0,0,0,0,0,1583,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
PortScan,3,0,0,0,12,0,0,0,0,0,31745,0,0,0,1
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,2,0,0,0,0,0,0,0,0,0,1,0,146,12,140
Web Attack - Sql Injection,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Web Attack - XSS,2,0,0,0,3,0,0,0,0,0,0,0,31,0,94
