true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,450220,572,17,2,2205,11,1,3,0,5,198,0,440,2,589
Bot,19,372,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,11,0,25584,0,10,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,2010,46,3,0,0,0,0,0,0,0,0,0
DoS Hulk,12,0,2,0,46010,0,0,0,0,0,0,0,1,0,0
DoS Slowhttptest,2,0,0,0,3,1089,4,0,0,0,0,0,1,0,1
DoS slowloris,1,0,0,0,1,1,1156,0,0,0,0,0,0,0,0
FTP-Patator,4,0,0,0,0,0,0,1582,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
PortScan,3,0,0,0,12,0,0,0,0,0,31744,0,2,0,0
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,164,12,125
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,1,0,0,0,3,0,0,0,0,0,0,0,41,0,85
