true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,452695,180,20,5,128,10,4,3,0,3,197,0,436,2,582
Bot,3,388,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,3,0,25590,0,12,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,2042,14,3,0,0,0,0,0,0,0,0,0
DoS Hulk,1,0,0,0,46023,0,0,0,0,0,0,0,1,0,0
DoS Slowhttptest,5,0,0,0,0,1087,6,0,0,0,0,0,1,0,1
DoS slowloris,2,0,0,0,0,0,1157,0,0,0,0,0,0,0,0
FTP-Patator,3,0,0,0,0,0,0,1583,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
PortScan,2,0,0,0,12,0,0,0,0,0,31745,0,1,0,1
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,1,0,0,0,0,0,0,0,0,0,0,0,171,4,125
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,1,0,0,0,0,0,0,0,0,0,0,0,39,1,89
